shots,baseline,subject,seed_mean_delta,seed_median_delta,positive_seeds
0,isotropic,abstract_algebra,-0.033333333333333326,-0.03999999999999998,0
0,isotropic,anatomy,-0.054320987654320994,-0.07407407407407401,1
0,isotropic,astronomy,0.041666666666666664,0.03947368421052633,3
0,isotropic,business_ethics,0.03333333333333335,0.02999999999999997,3
0,isotropic,clinical_knowledge,0.008805031446540879,0.030188679245283012,2
0,isotropic,college_biology,-0.006944444444444475,0.0,1
0,isotropic,college_chemistry,0.07666666666666667,0.08000000000000002,3
0,isotropic,college_computer_science,0.13666666666666663,0.13999999999999996,3
0,isotropic,college_mathematics,0.053333333333333344,0.07,3
0,isotropic,college_medicine,0.0211946050096339,0.023121387283236983,2
0,isotropic,college_physics,0.019607843137254905,0.009803921568627472,2
0,isotropic,computer_security,0.10999999999999995,0.12,3
0,isotropic,conceptual_physics,-0.005673758865248217,0.0,1
0,isotropic,econometrics,-0.032163742690058485,-0.026315789473684237,0
0,isotropic,electrical_engineering,0.05057471264367817,0.027586206896551724,3
0,isotropic,elementary_mathematics,-0.023809523809523798,-0.015873015873015872,1
0,isotropic,formal_logic,0.0925925925925926,0.06349206349206349,3
0,isotropic,global_facts,0.016666666666666673,0.03,2
0,isotropic,high_school_biology,0.05591397849462365,0.04193548387096768,3
0,isotropic,high_school_chemistry,0.013136288998357948,0.019704433497536922,2
0,isotropic,high_school_computer_science,-0.02999999999999999,-0.04999999999999999,1
0,isotropic,high_school_european_history,-0.030303030303030276,-0.042424242424242364,1
0,isotropic,high_school_geography,0.055555555555555546,0.025252525252525304,3
0,isotropic,high_school_government_and_politics,-3.700743415417188e-17,-0.05181347150259075,1
0,isotropic,high_school_macroeconomics,0.06581196581196579,0.05384615384615382,3
0,isotropic,high_school_mathematics,-0.022222222222222227,-0.040740740740740744,1
0,isotropic,high_school_microeconomics,0.06862745098039214,0.0672268907563025,3
0,isotropic,high_school_physics,0.022075055187637953,0.039735099337748325,2
0,isotropic,high_school_psychology,0.03669724770642202,0.007339449541284404,3
0,isotropic,high_school_statistics,0.05092592592592591,0.05092592592592593,3
0,isotropic,high_school_us_history,-0.02777777777777779,-0.07352941176470584,1
0,isotropic,high_school_world_history,0.0014064697609001975,-0.025316455696202445,1
0,isotropic,human_aging,0.02690582959641256,0.0,1
0,isotropic,human_sexuality,0.08651399491094149,0.09160305343511449,3
0,isotropic,international_law,-0.04683195592286502,-0.08264462809917356,1
0,isotropic,jurisprudence,0.015432098765432131,0.0092592592592593,3
0,isotropic,logical_fallacies,0.03885480572597133,0.042944785276073594,2
0,isotropic,machine_learning,0.04464285714285713,0.0267857142857143,3
0,isotropic,management,0.11974110032362466,0.10679611650485443,3
0,isotropic,marketing,0.048433048433048444,0.02564102564102566,2
0,isotropic,medical_genetics,0.03666666666666666,-0.010000000000000009,1
0,isotropic,miscellaneous,0.03320561941251595,0.015325670498084198,3
0,isotropic,moral_disputes,0.02215799614643545,0.0028901734104046506,2
0,isotropic,moral_scenarios,-0.04022346368715085,-0.03240223463687153,0
0,isotropic,nutrition,0.029411764705882398,0.03594771241830075,3
0,isotropic,philosophy,0.09967845659163987,0.090032154340836,3
0,isotropic,prehistory,0.034979423868312785,0.015432098765432112,2
0,isotropic,professional_accounting,0.024822695035460973,0.03191489361702127,3
0,isotropic,professional_law,0.013689700130378088,0.0052151238591916504,2
0,isotropic,professional_medicine,0.10294117647058822,0.10661764705882354,3
0,isotropic,professional_psychology,0.004901960784313708,0.008169934640522847,2
0,isotropic,public_relations,0.09696969696969697,0.08181818181818179,3
0,isotropic,security_studies,0.07482993197278913,0.08163265306122452,3
0,isotropic,sociology,0.05472636815920395,0.05970149253731338,3
0,isotropic,us_foreign_policy,0.026666666666666655,0.019999999999999907,2
0,isotropic,virology,0.06024096385542169,0.06626506024096385,3
0,isotropic,world_religions,0.025341130604288515,0.005847953216374324,2
5,isotropic,abstract_algebra,-0.003333333333333355,-0.020000000000000018,1
5,isotropic,anatomy,-0.024691358024691357,-0.037037037037037035,1
5,isotropic,astronomy,0.032894736842105275,0.02631578947368418,3
5,isotropic,business_ethics,-0.08999999999999998,-0.08999999999999997,0
